City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
343,Port Shepstone,ZA,-30.74,30.45,68.25,76,84,11.01,broken clouds
344,Lebanon,US,36.21,-86.29,43.0,93,1,3.22,clear sky
345,Dehui,CN,44.53,125.7,5.0,77,0,8.95,mist
346,Sitka,US,57.05,-135.33,42.8,75,75,8.05,broken clouds
347,Honiara,SB,-9.43,159.95,73.4,94,90,3.36,light rain
348,Richards Bay,ZA,-28.78,32.04,72.3,64,30,13.18,scattered clouds
349,Clyde River,CA,70.47,-68.59,-13.0,83,75,13.87,broken clouds
350,Ures,MX,29.43,-110.4,55.99,31,0,7.0,clear sky
351,Envira,BR,-7.3,-70.22,89.92,52,100,3.27,overcast clouds
352,Turayf,SA,31.67,38.66,59.0,62,40,4.7,scattered clouds
353,Srednekolymsk,RU,67.45,153.68,-15.88,88,96,7.74,overcast clouds
354,Mar Del Plata,AR,-38.0,-57.56,82.4,42,0,16.11,clear sky
355,Nizhnyaya Omka,RU,55.43,74.94,5.31,94,0,6.22,clear sky
356,Kahta,TR,37.79,38.62,51.8,62,0,6.93,clear sky
357,Aguimes,ES,27.91,-15.45,62.01,93,75,4.7,broken clouds
358,Port Hardy,CA,50.7,-127.42,44.6,80,90,12.75,overcast clouds
359,Abu Samrah,SY,35.3,37.18,58.26,60,0,3.49,clear sky
360,Abeokuta,NG,7.15,3.35,94.48,36,22,3.83,few clouds
361,Bagan,RU,54.1,77.66,11.84,96,90,6.96,overcast clouds
362,Maceio,BR,-9.67,-35.74,80.6,69,75,10.29,broken clouds
363,Hammerfest,NO,70.66,23.68,39.2,69,40,19.46,scattered clouds
364,Prince Rupert,CA,54.32,-130.32,42.8,81,90,20.8,light rain
